t,u,w,q,theta,alpha_deg,V_mps,de_cmd_deg,saturated
1.1250,-0.8422,1.5275,1.7423,0.0851,11.9459,19.2413,-15.0000,1
1.1300,-0.9289,1.6738,1.8027,0.0938,12.3540,19.1578,-15.0000,1
1.1350,-1.0187,1.8234,1.8596,0.1028,12.7731,19.0711,-15.0000,1
1.1400,-1.1113,1.9761,1.9134,0.1121,13.2019,18.9813,-15.0000,1
1.1450,-1.2068,2.1314,1.9641,0.1217,13.5000,18.8887,-15.0000,1
1.1500,-1.3048,2.2890,2.0121,0.1315,13.5000,18.7932,-15.0000,1
1.1550,-1.4054,2.4485,2.0574,0.1415,13.5000,18.6952,-15.0000,1
1.1600,-1.5083,2.6097,2.1002,0.1518,13.5000,18.5946,-15.0000,1
1.1650,-1.6134,2.7723,2.1408,0.1623,13.5000,18.4917,-15.0000,1
1.1700,-1.7206,2.9361,2.1792,0.1730,13.5000,18.3866,-15.0000,1
1.1750,-1.8298,3.1008,2.2155,0.1839,13.5000,18.2794,-15.0000,1
1.1800,-1.9410,3.2662,2.2500,0.1950,13.5000,18.1702,-15.0000,1
1.1850,-2.0540,3.4322,2.2828,0.2063,13.5000,18.0590,-15.0000,1
1.1900,-2.1687,3.5984,2.3140,0.2177,13.5000,17.9460,-15.0000,1
1.1950,-2.2850,3.7649,2.3436,0.2292,13.5000,17.8313,-15.0000,1
1.2000,-2.4030,3.9314,2.3719,0.2410,13.5000,17.7150,-15.0000,1
1.2050,-2.5224,4.0978,2.3985,0.2528,13.5000,17.5970,-15.0000,1
1.2100,-2.6433,4.2640,2.4235,0.2648,13.5000,17.4776,-15.0000,1
1.2150,-2.7655,4.4298,2.4470,0.2769,13.5000,17.3567,-15.0000,1
1.2200,-2.8891,4.5950,2.4690,0.2892,13.5000,17.2345,-15.0000,1
1.2250,-3.0138,4.7596,2.4897,0.3015,13.5000,17.1109,-15.0000,1
1.2300,-3.1396,4.9234,2.5090,0.3140,13.5000,16.9862,-15.0000,1
1.2350,-3.2665,5.0863,2.5271,0.3265,13.5000,16.8604,-15.0000,1
1.2400,-3.3944,5.2483,2.5441,0.3391,13.5000,16.7335,-15.0000,1
1.2450,-3.5233,5.4091,2.5600,0.3519,13.5000,16.6056,-15.0000,1
1.2500,-3.6531,5.5688,2.5748,0.3647,13.5000,16.4767,-15.0000,1
1.2550,-3.7837,5.7272,2.5886,0.3775,13.5000,16.3469,-15.0000,1
1.2600,-3.9151,5.8844,2.6015,0.3905,13.5000,16.2163,-15.0000,1
1.2650,-4.0472,6.0402,2.6135,0.4035,13.5000,16.0849,-15.0000,1
1.2700,-4.1800,6.1945,2.6247,0.4166,13.5000,15.9528,-15.0000,1
1.2750,-4.3135,6.3474,2.6351,0.4297,13.5000,15.8200,-15.0000,1
