dt_ms,abs_dt_ms
9.9137,9.9137
-11.0964,11.0964
2.0485,2.0485
3.4846,3.4846
-8.6544,8.6544
-9.2155,9.2155
7.8640,7.8640
-10.8636,10.8636
-4.4723,4.4723
2.4212,2.4212
4.0606,4.0606
-5.0740,5.0740
-4.7575,4.7575
-0.3972,0.3972
7.0237,7.0237
-6.9740,6.9740
3.3290,3.3290
6.2103,6.2103
4.0573,4.0573
-1.7042,1.7042
-3.2659,3.2659
1.2954,1.2954
0.7900,0.7900
2.1099,2.1099
3.2873,3.2873
6.8289,6.8289
6.6908,6.6908
-5.4677,5.4677
5.8131,5.8131
-6.6015,6.6015
3.5102,3.5102
-0.3437,0.3437
-0.1695,0.1695
0.3127,0.3127
3.3629,3.3629
5.0298,5.0298
-7.0731,7.0731
-1.1504,1.1504
1.9705,1.9705
-1.8088,1.8088
-2.0611,2.0611
1.2486,1.2486
-6.3609,6.3609
6.8102,6.8102
2.4670,2.4670
11.5819,11.5819
-5.3309,5.3309
4.6606,4.6606
3.6624,3.6624
1.4688,1.4688
-2.0093,2.0093
-8.3227,8.3227
-7.3384,7.3384
-0.3151,0.3151
-7.9722,7.9722
9.3493,9.3493
4.6079,4.6079
2.0616,2.0616
6.0133,6.0133
2.1731,2.1731
-0.8533,0.8533
0.8059,0.8059
-3.0576,3.0576
1.0083,1.0083
4.3682,4.3682
9.6668,9.6668
-2.0847,2.0847
6.8816,6.8816
6.0174,6.0174
-1.7568,1.7568
-2.8936,2.8936
-10.3212,10.3212
4.1007,4.1007
6.5077,6.5077
-3.2947,3.2947
-2.1685,2.1685
-6.0867,6.0867
-7.8532,7.8532
2.8787,2.8787
5.2873,5.2873
-0.7392,0.7392
12.4178,12.4178
3.9695,3.9695
5.0246,5.0246
0.0904,0.0904
-7.2898,7.2898
-4.5619,4.5619
7.9307,7.9307
1.4681,1.4681
5.4436,5.4436
-6.5107,6.5107
6.6056,6.6056
-3.4877,3.4877
-2.1173,2.1173
9.1746,9.1746
-3.9472,3.9472
4.2844,4.2844
-1.4214,1.4214
-4.5875,4.5875
-8.0981,8.0981
-0.6475,0.6475
10.1378,10.1378
8.9960,8.9960
10.4653,10.4653
-1.3693,1.3693
6.2934,6.2934
-3.7892,3.7892
-3.7481,3.7481
2.5421,2.5421
2.7738,2.7738
5.6036,5.6036
-4.2497,4.2497
-14.0917,14.0917
-6.0164,6.0164
8.6419,8.6419
4.1950,4.1950
6.2768,6.2768
-2.8488,2.8488
1.3858,1.3858
-5.0810,5.0810
-10.3903,10.3903
-0.5063,0.5063
12.7888,12.7888
-3.1689,3.1689
4.3504,4.3504
0.3528,0.3528
9.6067,9.6067
2.2972,2.2972
-7.6328,7.6328
7.2893,7.2893
-2.7912,2.7912
0.8719,0.8719
-9.9511,9.9511
-0.4885,0.4885
6.1077,6.1077
-0.0169,0.0169
2.5750,2.5750
-8.7118,8.7118
-9.8428,9.8428
-0.4025,0.4025
5.5447,5.5447
-1.8982,1.8982
5.7452,5.7452
-3.5894,3.5894
3.4251,3.4251
0.1771,0.1771
-2.5787,2.5787
-4.6984,4.6984
5.5672,5.5672
1.2507,1.2507
3.2766,3.2766
0.0368,0.0368
-1.2762,1.2762
-8.0059,8.0059
-5.1961,5.1961
-5.1777,5.1777
-2.6679,2.6679
3.0604,3.0604
7.1868,7.1868
0.5707,0.5707
-9.7977,9.7977
-2.5490,2.5490
-2.6364,2.6364
-0.8016,0.8016
2.0673,2.0673
-2.7113,2.7113
7.9959,7.9959
4.1153,4.1153
-11.7944,11.7944
-3.9669,3.9669
-2.9814,2.9814
0.2704,0.2704
12.4478,12.4478
2.4503,2.4503
0.4127,0.4127
-7.5222,7.5222
6.2541,6.2541
3.2356,3.2356
-4.1368,4.1368
1.2471,1.2471
5.1302,5.1302
6.4850,6.4850
-10.6111,10.6111
1.8673,1.8673
-4.0851,4.0851
-3.1851,3.1851
-7.0166,7.0166
-6.0433,6.0433
-0.3812,0.3812
-2.7682,2.7682
-8.4595,8.4595
-0.2054,0.2054
10.8030,10.8030
-2.0922,2.0922
-0.4796,0.4796
0.5645,0.5645
1.2905,1.2905
-3.6590,3.6590
-1.0315,1.0315
-3.3979,3.3979
0.6213,0.6213
-10.7426,10.7426
0.7694,0.7694
-2.7927,2.7927
5.8548,5.8548
-0.4054,0.4054
-8.8475,8.8475
-0.8496,0.8496
-2.5216,2.5216
1.5409,1.5409
-8.4414,8.4414
